"CT,C,11","CT_ST,C,2","PCSA,C,11","PCSA_ST,C,2","PCSA_L,C,30"
51057950700,VA,51057950600,VA,VA00_CHAMPLAIN
51057950800,VA,51057950600,VA,VA00_CHAMPLAIN
51059415100,VA,51059415500,VA,VA02_ALEXANDRIA
51059415200,VA,51059415500,VA,VA02_ALEXANDRIA
51059415300,VA,51059415500,VA,VA02_ALEXANDRIA
51059415401,VA,51059415500,VA,VA02_ALEXANDRIA
51059415402,VA,51059415500,VA,VA02_ALEXANDRIA
51059415500,VA,51059415500,VA,VA02_ALEXANDRIA
51059415600,VA,51059415500,VA,VA02_ALEXANDRIA
51059415700,VA,51059415500,VA,VA02_ALEXANDRIA
51059415800,VA,51059415500,VA,VA02_ALEXANDRIA
51059415900,VA,51059415500,VA,VA02_ALEXANDRIA
51059416000,VA,51059415500,VA,VA02_ALEXANDRIA
51059416100,VA,51059415500,VA,VA02_ALEXANDRIA
51059416200,VA,51059415500,VA,VA02_ALEXANDRIA
51059416300,VA,51059415500,VA,VA02_ALEXANDRIA
51059420100,VA,51059421001,VA,VA03_ALEXANDRIA
51059420201,VA,51059421001,VA,VA03_ALEXANDRIA
51059420202,VA,51059421001,VA,VA03_ALEXANDRIA
51059420203,VA,51059421001,VA,VA03_ALEXANDRIA
51059420300,VA,51059421001,VA,VA03_ALEXANDRIA
51059420400,VA,51059415500,VA,VA02_ALEXANDRIA
51059420501,VA,51059415500,VA,VA02_ALEXANDRIA
51059420502,VA,51059415500,VA,VA02_ALEXANDRIA
51059420503,VA,51059415500,VA,VA02_ALEXANDRIA
51059420600,VA,51059415500,VA,VA02_ALEXANDRIA
51059420700,VA,51059421001,VA,VA03_ALEXANDRIA
51059420800,VA,51059415500,VA,VA02_ALEXANDRIA
51059421001,VA,51059421001,VA,VA03_ALEXANDRIA
51059421002,VA,51059421001,VA,VA03_ALEXANDRIA
51059421101,VA,51059421001,VA,VA03_ALEXANDRIA
51059421102,VA,51059421001,VA,VA03_ALEXANDRIA
51059421103,VA,51059421001,VA,VA03_ALEXANDRIA
51059421200,VA,51059421001,VA,VA03_ALEXANDRIA
51059421300,VA,51059415500,VA,VA02_ALEXANDRIA
51059421400,VA,51059415500,VA,VA02_ALEXANDRIA
51059421500,VA,51059415500,VA,VA02_ALEXANDRIA
51059421600,VA,51059415500,VA,VA02_ALEXANDRIA
51059421701,VA,51059415500,VA,VA02_ALEXANDRIA
51059421702,VA,51059415500,VA,VA02_ALEXANDRIA
51059421800,VA,51059415500,VA,VA02_ALEXANDRIA
51059421900,VA,51059415500,VA,VA02_ALEXANDRIA
51059422000,VA,51059415500,VA,VA02_ALEXANDRIA
51059422101,VA,51059415500,VA,VA02_ALEXANDRIA
51059422102,VA,51059415500,VA,VA02_ALEXANDRIA
51059422201,VA,51059415500,VA,VA02_ALEXANDRIA
51059422202,VA,51059415500,VA,VA02_ALEXANDRIA
51059422301,VA,51059421001,VA,VA03_ALEXANDRIA
51059422302,VA,51059421001,VA,VA03_ALEXANDRIA
51059422401,VA,51059421001,VA,VA03_ALEXANDRIA
51059422402,VA,51059421001,VA,VA03_ALEXANDRIA
51059422403,VA,51059421001,VA,VA03_ALEXANDRIA
51059430101,VA,51059482602,VA,VA00_FAIRFAX
51059430102,VA,51059482602,VA,VA00_FAIRFAX
51059430201,VA,51059432202,VA,VA00_BURKE
51059430202,VA,51059482602,VA,VA00_FAIRFAX
51059430203,VA,51059482602,VA,VA00_FAIRFAX
51059430400,VA,51059440201,VA,VA01_FALLS CHURCH
51059430500,VA,51059452400,VA,VA01_SPRINGFIELD
51059430600,VA,51059430600,VA,VA03_SPRINGFIELD
51059430700,VA,51059452400,VA,VA01_SPRINGFIELD
51059430801,VA,51059452400,VA,VA01_SPRINGFIELD
51059430802,VA,51059452400,VA,VA01_SPRINGFIELD
51059430901,VA,51059432202,VA,VA00_BURKE
51059430902,VA,51059432202,VA,VA00_BURKE
51059431001,VA,51059432202,VA,VA00_BURKE
51059431002,VA,51059432202,VA,VA00_BURKE
51059431300,VA,51059452400,VA,VA01_SPRINGFIELD
51059431400,VA,51059452400,VA,VA01_SPRINGFIELD
51059431500,VA,51059452400,VA,VA01_SPRINGFIELD
51059431600,VA,51059431600,VA,VA02_SPRINGFIELD
51059431801,VA,51059432202,VA,VA00_BURKE
51059431802,VA,51059432202,VA,VA00_BURKE
51059431900,VA,51059432202,VA,VA00_BURKE
51059432000,VA,51059432202,VA,VA00_BURKE
51059432100,VA,51059432202,VA,VA00_BURKE
51059432201,VA,51059432202,VA,VA00_BURKE
51059432202,VA,51059432202,VA,VA00_BURKE
